condition_seed,noise_seed,node_count,trajectory,decision_index,action_id,action_kind,action_probability,counterfactual_task_gain,communication_penalty,resynchronization_penalty,topology_switch_penalty,training_objective,objective_gain_over_keep
1504,0,10,keep,0,2,swap,0.007088329643011093,0.0344054909138749,0.004083333333333333,0.0002,0.001,0.02912215758054157,0.03337215758054157
1504,0,10,keep,0,10,swap,0.011259477585554123,0.019368846308853715,0.004083333333333333,0.0002,0.001,0.014085512975520381,0.01833551297552038
1504,0,10,keep,3,0,keep,0.08624446392059326,0.0,0.004166666666666667,0.0,0.0,-0.004166666666666667,0.0
1504,0,10,keep,3,1,add,0.8006816506385803,-0.0009969037713990492,0.004333333333333333,0.0002,0.001,-0.006530237104732382,-0.0023635704380657154
1504,0,10,keep,3,2,swap,0.007448311895132065,-0.01469775800333839,0.0038333333333333336,0.0002,0.001,-0.019731091336671724,-0.015564424670005059
1504,0,10,keep,3,10,swap,0.006132420152425766,-0.0013557930756351588,0.0038333333333333336,0.0002,0.001,-0.006389126408968492,-0.0022224597423018255
1504,0,10,keep,6,0,keep,0.08790412545204163,0.0,0.0037500000000000003,0.0,0.0,-0.0037500000000000003,0.0
1504,0,10,keep,6,1,add,0.8027319312095642,0.0015818595433916283,0.004,0.0002,0.001,-0.003618140456608372,0.00013185954339162836
1504,0,10,keep,6,2,swap,0.007801663130521774,-0.006241067231462116,0.0035,0.0002,0.001,-0.010941067231462116,-0.007191067231462116
1504,0,10,keep,6,10,swap,0.0075556193478405476,-0.006682744313713629,0.0035833333333333333,0.0002,0.001,-0.011466077647046963,-0.007716077647046963
1504,0,10,keep,9,0,keep,0.08254436403512955,0.0,0.0021666666666666666,0.0,0.0,-0.0021666666666666666,0.0
1504,0,10,keep,9,1,add,0.8041151165962219,0.010271746284403638,0.0023333333333333335,0.0002,0.001,0.006738412951070305,0.008905079617736972
1504,0,10,keep,9,2,swap,0.009243598207831383,0.00966380334933914,0.002,0.0002,0.001,0.00646380334933914,0.008630470016005806
1504,0,10,keep,9,10,swap,0.007123440038412809,0.01028131926294329,0.0021666666666666666,0.0002,0.001,0.006914652596276621,0.009081319262943288
1504,0,10,policy,0,0,keep,0.09131231904029846,0.0,0.00425,0.0,0.0,-0.00425,0.0
1504,0,10,policy,0,1,add,0.7905972003936768,0.021137238930452718,0.004583333333333333,0.0002,0.001,0.015353905597119383,0.019603905597119383
1504,0,10,policy,0,2,swap,0.007088329643011093,0.0344054909138749,0.004083333333333333,0.0002,0.001,0.02912215758054157,0.03337215758054157
1504,0,10,policy,0,10,swap,0.011259477585554123,0.019368846308853715,0.004083333333333333,0.0002,0.001,0.014085512975520381,0.01833551297552038
1504,0,10,policy,3,0,keep,0.8966174125671387,0.0,0.004583333333333333,0.0,0.0,-0.004583333333333333,0.0
1504,0,10,policy,3,1,remove,0.007705871481448412,-0.014748691980318474,0.004083333333333333,0.0,0.001,-0.01983202531365181,-0.015248691980318476
1504,0,10,policy,3,10,remove,0.010585488751530647,-0.000723412756643893,0.004083333333333333,0.0,0.001,-0.005806746089977226,-0.0012234127566438926
1504,0,10,policy,6,0,keep,0.9113044142723083,0.0,0.003916666666666667,0.0,0.0,-0.003916666666666667,0.0
