resource_form,communication_multiplier,resynchronization_multiplier,switch_multiplier,mean_best_gain_over_keep,positive_best_nonkeep_fraction,best_type_match_fraction_to_current,node_count,state_count,best_keep_count,best_add_count,best_swap_count,best_remove_count
absolute,1.0,0.0,0.25,0.013936583798364552,0.6666666666666666,0.9107142857142857,5,24,8,2,10,4
absolute,1.0,0.0,0.25,0.009459243936619883,0.5,0.9107142857142857,10,16,8,2,5,1
absolute,1.0,0.0,0.25,0.005288081468787947,0.75,0.9107142857142857,20,16,4,7,4,1
absolute,1.0,0.0,0.5,0.013799638018524357,0.5,0.9821428571428571,5,24,12,0,9,3
absolute,1.0,0.0,0.5,0.009334243936619883,0.5,0.9821428571428571,10,16,8,2,5,1
absolute,1.0,0.0,0.5,0.0051005814687879476,0.75,0.9821428571428571,20,16,4,7,4,1
absolute,1.0,0.0,1.0,0.0135647113781633,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,1.0,0.0,1.0,0.009084243936619885,0.5,1.0,10,16,8,2,5,1
absolute,1.0,0.0,1.0,0.004725581468787947,0.75,1.0,20,16,4,7,4,1
absolute,1.0,0.0,2.0,0.013106378044829966,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,1.0,0.0,2.0,0.008670356858163444,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,1.0,0.0,2.0,0.004017524285458765,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,1.0,0.5,0.0,0.014003590212315948,0.7083333333333334,0.875,5,24,7,3,10,4
absolute,1.0,0.5,0.0,0.009540493936619883,0.5,0.875,10,16,8,2,5,1
absolute,1.0,0.5,0.0,0.005443810381644085,0.8125,0.875,20,16,3,7,4,2
absolute,1.0,0.5,0.25,0.013851480823843252,0.5416666666666666,0.9642857142857143,5,24,11,0,9,4
absolute,1.0,0.5,0.25,0.009415493936619883,0.5,0.9642857142857143,10,16,8,2,5,1
absolute,1.0,0.5,0.25,0.005253706468787946,0.75,0.9642857142857143,20,16,4,7,4,1
absolute,1.0,0.5,0.5,0.013727211378163302,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,1.0,0.5,0.5,0.009290493936619883,0.5,1.0,10,16,8,2,5,1
absolute,1.0,0.5,0.5,0.005066206468787948,0.75,1.0,20,16,4,7,4,1
absolute,1.0,0.5,1.0,0.013498044711496635,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,1.0,0.5,1.0,0.009040493936619882,0.5,1.0,10,16,8,2,5,1
absolute,1.0,0.5,1.0,0.0046912064687879475,0.75,1.0,20,16,4,7,4,1
absolute,1.0,0.5,2.0,0.013039711378163303,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,1.0,0.5,2.0,0.008639106858163444,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,1.0,0.5,2.0,0.003986274285458766,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,1.0,1.0,0.0,0.013917041512551083,0.5416666666666666,0.9464285714285714,5,24,11,0,8,5
absolute,1.0,1.0,0.0,0.009496743936619884,0.5,0.9464285714285714,10,16,8,2,5,1
absolute,1.0,1.0,0.0,0.005409435381644085,0.8125,0.9464285714285714,20,16,3,7,4,2
absolute,1.0,1.0,0.25,0.013781624845884419,0.5416666666666666,0.9642857142857143,5,24,11,0,8,5
absolute,1.0,1.0,0.25,0.009371743936619884,0.5,0.9642857142857143,10,16,8,2,5,1
absolute,1.0,1.0,0.25,0.005219331468787947,0.75,0.9642857142857143,20,16,4,7,4,1
absolute,1.0,1.0,0.5,0.013660544711496634,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,1.0,1.0,0.5,0.009246743936619884,0.5,1.0,10,16,8,2,5,1
